Ano e mês,Bairro/Rua,Data,Clima,Horário de Avaliação do Ponto,Périodo do dia,Direção,horas,minutos,bikes disponiveis para contratar
2018 Q1 (January-March),Regent Street,"ter., 20/02/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Northbound,21,30,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Southbound,7,45,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Northbound,14,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0945 - 1000,AM peak (07:00-10:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1030 - 1045,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1045 - 1100,Inter-peak (10:00-16:00),Northbound,14,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1130 - 1145,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Northbound,14,0,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Northbound,14,45,1
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Northbound,17,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0930 - 0945,AM peak (07:00-10:00),Southbound,18,30,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,1000 - 1015,Inter-peak (10:00-16:00),Southbound,18,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Northbound,17,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1100 - 1115,Inter-peak (10:00-16:00),Northbound,17,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Southbound,18,15,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Northbound,17,45,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1800 - 1815,PM peak (16:00-19:00),Southbound,19,0,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Southbound,19,30,2
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Wet,0915 - 0930,AM peak (07:00-10:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1015 - 1030,Inter-peak (10:00-16:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1115 - 1130,Inter-peak (10:00-16:00),Northbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Northbound,20,15,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1845 - 1900,PM peak (16:00-19:00),Southbound,20,45,3
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,0900 - 0915,AM peak (07:00-10:00),Southbound,21,0,4
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1145 - 1200,Inter-peak (10:00-16:00),Southbound,21,45,4
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1815 - 1830,PM peak (16:00-19:00),Southbound,21,15,5
2018 Q1 (January-March),Regent Street,"ter., 20/03/18",Dry,1830 - 1845,PM peak (16:00-19:00),Northbound,21,30,5
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Southbound,8,30,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Northbound,7,0,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Northbound,7,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1615 - 1630,PM peak (16:00-19:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Northbound,7,30,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1400 - 1415,Inter-peak (10:00-16:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1445 - 1500,Inter-peak (10:00-16:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Northbound,14,15,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1515 - 1530,Inter-peak (10:00-16:00),Southbound,15,15,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Northbound,18,15,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1430 - 1445,Inter-peak (10:00-16:00),Northbound,18,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1530 - 1545,Inter-peak (10:00-16:00),Northbound,18,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1545 - 1600,Inter-peak (10:00-16:00),Southbound,19,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Southbound,19,0,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1630 - 1645,PM peak (16:00-19:00),Southbound,19,30,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1645 - 1700,PM peak (16:00-19:00),Northbound,18,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Northbound,18,0,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1745 - 1800,PM peak (16:00-19:00),Northbound,18,45,2
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1415 - 1430,Inter-peak (10:00-16:00),Southbound,20,15,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1500 - 1515,Inter-peak (10:00-16:00),Southbound,20,0,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1600 - 1615,PM peak (16:00-19:00),Northbound,20,0,3
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1700 - 1715,PM peak (16:00-19:00),Southbound,21,0,4
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Northbound,21,30,4
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1715 - 1730,PM peak (16:00-19:00),Northbound,21,15,5
2018 Q1 (January-March),Regent Street,"qua., 21/03/18",Dry,1730 - 1745,PM peak (16:00-19:00),Southbound,21,30,5
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0600 - 0615,Early Morning (06:00-07:00),Southbound,7,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Northbound,6,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0615 - 0630,Early Morning (06:00-07:00),Southbound,7,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Northbound,6,30,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0700 - 0715,AM peak (07:00-10:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0715 - 0730,AM peak (07:00-10:00),Northbound,6,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0745 - 0800,AM peak (07:00-10:00),Northbound,6,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0800 - 0815,AM peak (07:00-10:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1900 - 1915,Evening (19:00-22:00),Northbound,7,0,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1915 - 1930,Evening (19:00-22:00),Southbound,8,15,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1945 - 2000,Evening (19:00-22:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1945 - 2000,Evening (19:00-22:00),Southbound,8,45,0
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0630 - 0645,Early Morning (06:00-07:00),Southbound,14,30,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0700 - 0715,AM peak (07:00-10:00),Southbound,14,0,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0715 - 0730,AM peak (07:00-10:00),Southbound,14,15,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0730 - 0745,AM peak (07:00-10:00),Northbound,13,30,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0800 - 0815,AM peak (07:00-10:00),Southbound,14,0,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0830 - 0845,AM peak (07:00-10:00),Northbound,14,30,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1900 - 1915,Evening (19:00-22:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1930 - 1945,Evening (19:00-22:00),Northbound,14,30,1
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0645 - 0700,Early Morning (06:00-07:00),Southbound,18,45,2
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0745 - 0800,AM peak (07:00-10:00),Southbound,18,45,2
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1915 - 1930,Evening (19:00-22:00),Northbound,18,15,2
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,1930 - 1945,Evening (19:00-22:00),Southbound,19,30,2
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0730 - 0745,AM peak (07:00-10:00),Southbound,20,30,3
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0815 - 0830,AM peak (07:00-10:00),Northbound,20,15,3
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0830 - 0845,AM peak (07:00-10:00),Southbound,20,30,3
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0845 - 0900,AM peak (07:00-10:00),Northbound,21,45,4
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0815 - 0830,AM peak (07:00-10:00),Southbound,21,15,5
2018 Q1 (January-March),Regent Street,"qui., 22/03/18",Dry,0845 - 0900,AM peak (07:00-10:00),Southbound,21,45,11
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Northbound,6,0,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Southbound,7,15,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Northbound,6,15,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2030 - 2045,Evening (19:00-22:00),Northbound,7,30,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2045 - 2100,Evening (19:00-22:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2045 - 2100,Evening (19:00-22:00),Southbound,8,45,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2100 - 2115,Evening (19:00-22:00),Northbound,7,0,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2115 - 2130,Evening (19:00-22:00),Northbound,7,15,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2145 - 2200,Evening (19:00-22:00),Northbound,7,45,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2145 - 2200,Evening (19:00-22:00),Southbound,8,45,0
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1200 - 1215,Inter-peak (10:00-16:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1215 - 1230,Inter-peak (10:00-16:00),Northbound,14,15,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Northbound,14,45,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1245 - 1300,Inter-peak (10:00-16:00),Southbound,15,45,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Northbound,14,0,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1315 - 1330,Inter-peak (10:00-16:00),Southbound,15,15,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2000 - 2015,Evening (19:00-22:00),Southbound,15,0,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2015 - 2030,Evening (19:00-22:00),Northbound,14,15,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2030 - 2045,Evening (19:00-22:00),Southbound,15,30,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2100 - 2115,Evening (19:00-22:00),Southbound,16,0,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2130 - 2145,Evening (19:00-22:00),Northbound,14,30,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2130 - 2145,Evening (19:00-22:00),Southbound,16,30,1
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Northbound,17,30,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1300 - 1315,Inter-peak (10:00-16:00),Southbound,18,0,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Northbound,18,30,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Southbound,18,45,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2000 - 2015,Evening (19:00-22:00),Northbound,18,0,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2115 - 2130,Evening (19:00-22:00),Southbound,19,15,2
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1230 - 1245,Inter-peak (10:00-16:00),Southbound,20,30,3
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1330 - 1345,Inter-peak (10:00-16:00),Southbound,20,30,3
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,1345 - 1400,Inter-peak (10:00-16:00),Northbound,20,45,3
2018 Q1 (January-March),Regent Street,"seg., 26/03/18",Dry,2015 - 2030,Evening (19:00-22:00),Southbound,20,15,3